player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Pascal Siakam,siakapa01,2023,RS,TOR,5424,2652,2.139070698,-1.749400285,0.389670414,2.182011525,-0.898279106,1.283732419,2.274518031,-1.688450056,0.586067976,4.501214386,4.501214386,0,2.870506111,-0.640795817,2.229710294,-0.282947929
Chris Silva,silvach01,2023,RS,DAL,8,3,-12.59458733,6.780096514,-5.814490818,-14.69680081,23.62989769,8.933096879,-13.82825985,10.75220066,-3.076059186,-0.000516656,-0.000516656,0,-17.48737306,-0.48816679,-17.97553985,3.557377361
Ben Simmons,simmobe01,2023,RS,BRK,2304,1105,-2.517223432,1.200407257,-1.316816175,2.516980383,-0.473884787,2.043095595,-1.624439509,0.917447777,-0.706991732,1.156208736,1.156208736,0,-1.348445313,1.689399805,0.340954492,0.387327924
Kobi Simmons,simmoko01,2023,RS,CHA,60,28,-3.756123699,3.960564272,0.204440573,-14.25200968,-5.891387573,-20.14339725,-6.115391158,2.184746944,-3.930644214,-0.016705317,-0.016705317,0,-3.769807113,-0.671902404,-4.441709517,-0.962852116
Anfernee Simons,simonan01,2023,RS,POR,4488,2171,2.036317218,-1.186728124,0.849589094,0.198349434,1.344250808,1.542600242,1.791761638,-0.684837056,1.106924582,4.241107184,4.241107184,0,1.737726045,-0.235761649,1.501964396,-0.73224881
Marko Simonovic,simonma01,2023,RS,CHI,49,20,-7.808680491,-11.86530086,-19.67398135,2.672317261,15.98311837,18.65543563,-6.106366982,-6.830972053,-12.93733904,-0.105761092,-0.105761092,0,-6.146381901,-7.112334385,-13.25871629,1.756954856
Jericho Sims,simsje01,2023,RS,NYK,1646,812,-1.92909838,0.106596351,-1.822502028,-4.320273613,-0.539124293,-4.859397906,-2.571739778,-0.018667078,-2.590406856,0.065364334,0.065364334,0,-2.737388567,-0.089678573,-2.827067141,-1.148458468
Marcus Smart,smartma01,2023,PO,BOS,1372,679,2.759845706,0.50295156,3.262797266,0.445836939,0.848746629,1.294583569,2.390485691,0.588014206,2.978499898,2.070166666,0,2.070166666,1.585370422,0.076355424,1.661725846,1.122852286
Marcus Smart,smartma01,2023,RS,BOS,4106,1957,-0.144405859,1.335980742,1.191574883,1.592106433,-1.758497577,-0.166391143,0.166580532,0.726008667,0.892589199,3.675092035,3.675092035,0,0.773104974,1.460214409,2.233319383,1.057557605
Dennis Smith Jr.,smithde03,2023,RS,CHA,2957,1390,-2.313917653,2.302298593,-0.011619061,-5.297973621,7.129973136,1.831999515,-3.01534292,3.464712355,0.449369435,2.255443295,2.255443295,0,-2.887663376,2.929397338,0.041733962,-0.599624012
Dru Smith,smithdr01,2023,RS,MIA,138,67,-5.060405658,-0.777584169,-5.837989826,-3.287668511,-0.883892856,-4.171561368,-5.015263047,-0.877007558,-5.892270605,-0.105881336,-0.105881336,0,-5.715399779,1.167054465,-4.548345314,-1.439731144
Dru Smith,smithdr01,2023,RS,BRK,193,91,1.078472183,2.798802935,3.877275118,-8.979401671,4.076394181,-4.90300749,-0.93358722,3.269383132,2.335795912,0.235804638,0.235804638,0,-0.584537972,2.414588123,1.830050151,-0.136664334
Ish Smith,smithis01,2023,PO,DEN,25,12,-4.488861728,-3.42134125,-7.910202979,-20.91077892,11.8056729,-9.105106019,-8.321162401,-0.516753707,-8.837916108,-0.037935776,0,-0.037935776,-5.980002306,-0.588615399,-6.568617705,-1.290382617
Ish Smith,smithis01,2023,RS,DEN,839,398,-4.200460575,-1.923873411,-6.124333986,-5.353569742,3.554620502,-1.79894924,-4.741752741,-0.91381199,-5.655564731,-0.588975808,-0.588975808,0,-4.019711995,-2.617143123,-6.636855118,-0.175693337
Jalen Smith,smithja04,2023,RS,IND,2759,1279,-2.382541421,-1.4422353,-3.824776721,-1.865522109,-0.617736404,-2.483258513,-2.418768329,-1.312886543,-3.731654871,-0.645362536,-0.645362536,0,-1.553717539,-1.759741768,-3.313459307,0.754398419
Jabari Smith Jr.,smithja05,2023,RS,HOU,5124,2451,-3.143492083,-0.846204018,-3.9896961,-2.987966245,-3.860818782,-6.848785027,-3.261084333,-1.462098894,-4.723183227,-2.460987659,-2.460987659,0,-2.764936375,-1.793383385,-4.55831976,-0.265003152
Xavier Sneed,sneedxa01,2023,RS,CHA,105,48,-3.280547955,-1.138806731,-4.419354686,-10.52701504,1.037790282,-9.489224758,-4.926098482,-0.714828509,-5.640926992,-0.070657023,-0.070657023,0,-5.646502211,-2.083181741,-7.729683952,-0.20048171
Jeremy Sochan,sochaje01,2023,RS,SAS,3109,1458,-2.500979001,0.059254336,-2.441724665,0.608581826,-0.615775481,-0.007193655,-1.941499699,-0.004782305,-1.946282003,0.599734903,0.599734903,0,-2.009872996,-0.127763396,-2.137636392,0.316024375
Jaden Springer,sprinja01,2023,PO,PHI,33,17,3.511575142,-2.193209434,1.318365708,-4.509499983,6.731497244,2.221997261,2.081759154,-0.448579694,1.63317946,0.038969929,0,0.038969929,0.892247935,0.111454247,1.003702181,-0.598746877
Jaden Springer,sprinja01,2023,RS,PHI,193,89,2.757915984,-1.556306349,1.201609636,-3.703436568,3.484673149,-0.218763419,1.508319191,-0.660360671,0.84795852,0.163120537,0.163120537,0,0.05856862,-0.474934797,-0.416366176,-0.157443322
Lamar Stevens,stevela01,2023,PO,CLE,20,9,10.39518165,2.816766469,13.21194812,-8.033741963,21.37184809,13.33810613,7.304063217,6.818330349,14.12239357,0.080971592,0,0.080971592,2.229349224,3.173429281,5.402778505,1.310068346
Lamar Stevens,stevela01,2023,RS,CLE,2255,1120,-3.272544829,1.403486413,-1.869058416,-1.916712815,-2.072254418,-3.988967233,-3.197107439,0.703836119,-2.493271319,0.145024106,0.145024106,0,-3.332636179,0.632643574,-2.699992605,-1.15369623
Isaiah Stewart,stewais01,2023,RS,DET,2982,1414,-2.318656514,-0.07306942,-2.391725933,-0.425582993,-0.299910529,-0.725493521,-2.018829876,-0.062527573,-2.081357449,0.48228485,0.48228485,0,-2.444045091,-1.140180221,-3.584225313,-0.01865013
Max Strus,strusma01,2023,PO,MIA,1301,648,0.308108124,1.643571056,1.951679181,-2.161916665,-0.733493432,-2.895410097,-0.229883492,1.209872956,0.979989465,1.274678085,0,1.274678085,0.853298651,1.358119525,2.211418176,0.218639153
Max Strus,strusma01,2023,RS,MIA,4617,2272,0.214815206,-1.786353797,-1.571538591,-3.67545679,-2.436731813,-6.112188602,-0.571011138,-2.046008992,-2.617020131,0.15338856,0.15338856,0,-0.356577587,-1.525559149,-1.882136735,-0.496528057
Jalen Suggs,suggsja01,2023,RS,ORL,2641,1246,-0.002336862,3.591376277,3.589039415,-1.657199318,0.590198438,-1.06700088,-0.310986744,3.185428127,2.874441383,3.607086132,3.607086132,0,-0.494234762,2.798424751,2.304189989,0.891394652
Edmond Sumner,sumneed01,2023,PO,BRK,9,4,2.243295676,1.555548608,3.798844284,-25.04403245,26.72732914,1.68329669,-3.198095551,6.920559972,3.72246442,0.013561262,0,0.013561262,-4.08451606,7.310814451,3.226298391,-0.446223889
Edmond Sumner,sumneed01,2023,RS,BRK,1579,736,-1.221150875,-1.549616937,-2.770767812,-1.311223131,1.390187583,0.078964452,-1.326238509,-1.050773097,-2.377011606,0.141477345,0.141477345,0,-1.677859836,-1.160794559,-2.838654396,1.021532048
